NEW,2024-05-27T01:25:54,Farfalle nello stomaco,I1r0l0G0qZ,pippo
NEW,2024-05-27T01:25:54,Farfalle nello stomaco,Y2N0a040In,pippo
DELETE,2024-05-27T01:26:24,Marc Rebillet,I3r0l0G0qZ,pluto
NEW,2024-05-27T01:25:54,Marc Rebillet,p4w0e0S0ND,pluto
NEW,2024-05-27T01:25:54,Exo: Sunday,V5i0c0T0wP,luca
MODIFY,2024-05-27T01:25:54,Exo: Sunday,M6d0l0G0pZ,luca
MODIFY,2024-05-27T01:25:54,Farfalle nello stomaco,I1r0l0G0qZ,pippo
MODIFY,2024-05-27T01:25:54,Exo: Sunday,24K0z0k0rI,luca
NEW,2024-05-27T01:25:54,Muse,Y3N0a040In,luca
DELETE,2024-05-27T01:25:54,Muse,p2w0e0S0ND,luca
DELETE,2024-05-27T01:25:54,Muse,b1109060DQ,luca
DELETE,2024-05-27T01:30:54,Farfalle nello stomaco,I1r0l0G0qZ,pippo
